Date,Open,High,Low,Close,Adj Close,Volume
6/12/24,5409.13,5447.25,5409.13,5421.03,5421.03,3962840000
6/11/24,5353.00,5375.95,5327.25,5375.32,5375.32,3568030000
6/10/24,5341.22,5365.79,5331.52,5360.79,5360.79,3622280000
6/7/24,5343.81,5375.08,5331.33,5346.99,5346.99,3692760000
6/6/24,5357.80,5362.35,5335.36,5352.96,5352.96,3609990000
6/5/24,5314.48,5354.16,5297.64,5354.03,5354.03,3591460000
6/4/24,5278.24,5298.80,5257.63,5291.34,5291.34,3707900000
6/3/24,5297.15,5302.11,5234.32,5283.40,5283.40,4046920000
5/31/24,5243.21,5280.33,5191.68,5277.51,5277.51,5437160000
5/30/24,5259.77,5260.21,5222.10,5235.48,5235.48,3818750000
5/29/24,5278.73,5282.27,5262.70,5266.95,5266.95,3552750000
5/28/24,5315.91,5315.91,5280.89,5306.04,5306.04,3751540000
5/24/24,5281.45,5311.65,5278.39,5304.72,5304.72,3005510000
5/23/24,5340.26,5341.88,5256.93,5267.84,5267.84,3869520000
5/22/24,5319.28,5323.18,5286.01,5307.01,5307.01,3847130000
5/21/24,5298.69,5324.32,5297.87,5321.41,5321.41,3662240000
5/20/24,5305.35,5325.32,5302.40,5308.13,5308.13,3420100000
5/17/24,5303.10,5305.45,5283.59,5303.27,5303.27,3578120000
5/16/24,5310.07,5325.49,5296.19,5297.10,5297.10,3817470000
5/15/24,5263.26,5311.76,5263.26,5308.15,5308.15,4360810000
5/14/24,5221.10,5250.37,5217.98,5246.68,5246.68,4763580000
5/13/24,5233.08,5237.26,5211.16,5221.42,5221.42,4255710000
5/10/24,5225.49,5239.66,5209.68,5222.68,5222.68,3617900000
5/9/24,5189.03,5215.30,5180.41,5214.08,5214.08,3727370000
5/8/24,5168.98,5191.95,5165.86,5187.67,5187.67,3842100000
5/7/24,5187.20,5200.23,5178.96,5187.70,5187.70,3987890000
5/6/24,5142.42,5181.00,5142.42,5180.74,5180.74,3683250000
5/3/24,5122.78,5139.12,5101.22,5127.79,5127.79,3924990000
5/2/24,5049.32,5073.21,5011.05,5064.20,5064.20,4381660000
5/1/24,5029.03,5096.12,5013.45,5018.39,5018.39,4544170000
4/30/24,5103.78,5110.83,5035.31,5035.69,5035.69,4082470000
4/29/24,5114.13,5123.49,5088.65,5116.17,5116.17,3447450000
4/26/24,5084.65,5114.62,5073.14,5099.96,5099.96,3604140000
4/25/24,5019.88,5057.75,4990.58,5048.42,5048.42,3958050000
4/24/24,5084.86,5089.48,5047.02,5071.63,5071.63,3656740000
4/23/24,5028.85,5076.12,5027.96,5070.55,5070.55,3751400000
4/22/24,4987.33,5038.84,4969.40,5010.60,5010.60,3820250000
4/19/24,5005.44,5019.02,4953.56,4967.23,4967.23,3878750000
4/18/24,5031.52,5056.66,5001.89,5011.12,5011.12,3619760000
4/17/24,5068.97,5077.96,5007.25,5022.21,5022.21,3596130000
4/16/24,5064.59,5079.84,5039.83,5051.41,5051.41,4006200000
4/15/24,5149.67,5168.43,5052.47,5061.82,5061.82,3950210000
4/12/24,5171.51,5175.03,5107.94,5123.41,5123.41,3963220000
4/11/24,5172.95,5211.78,5138.77,5199.06,5199.06,3509380000
4/10/24,5167.88,5178.43,5138.70,5160.64,5160.64,3845930000
4/9/24,5217.03,5224.81,5160.78,5209.91,5209.91,3400680000
4/8/24,5211.37,5219.57,5197.35,5202.39,5202.39,3278180000
4/5/24,5158.95,5222.18,5157.21,5204.34,5204.34,3386780000
4/4/24,5244.05,5256.59,5146.06,5147.21,5147.21,4075680000
4/3/24,5194.37,5228.75,5194.37,5211.49,5211.49,3703250000
4/2/24,5204.29,5208.34,5184.05,5205.81,5205.81,3886590000
4/1/24,5257.97,5263.95,5229.20,5243.77,5243.77,3325930000
3/28/24,5248.03,5264.85,5245.82,5254.35,5254.35,3998270000
3/27/24,5226.31,5249.26,5213.92,5248.49,5248.49,3850500000
3/26/24,5228.85,5235.16,5203.42,5203.58,5203.58,3871790000
3/25/24,5219.52,5229.09,5216.09,5218.19,5218.19,3331360000
